z_m,phi_V,E_C_J,E_V_J,n_m3,p_m3
3.725000000000000334e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.750000000000000095e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.774999999999999856e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.800000000000000146e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.824999999999999906e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.850000000000000196e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.874999999999999957e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.900000000000000247e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.925000000000000008e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.950000000000000298e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.975000000000000058e-07,-1.233555912335592142e+00,-4.511725540523362066e-19,-6.313205348215669828e-19,2.466259262112529826e-01,1.996074889044596371e+36
3.999999999999999819e-07,-1.233193448936503733e+00,-4.512306270912061542e-19,-6.313786078604369304e-19,2.466259262112529826e-01,1.968283782127059358e+36
4.025000000000000109e-07,-1.232347675489879446e+00,-4.513661349365901221e-19,-6.315141157058208021e-19,2.466259262112529826e-01,1.904931421737729694e+36
4.049999999999999870e-07,-1.231018591995719946e+00,-4.515790775884878216e-19,-6.317270583577185978e-19,2.466259262112529826e-01,1.809471409844390394e+36
4.075000000000000160e-07,-1.229206198454025012e+00,-4.518694550468994450e-19,-6.320174358161302213e-19,2.466259262112529826e-01,1.686960268202847937e+36
4.099999999999999920e-07,-1.226910494864794421e+00,-4.522372673118249925e-19,-6.323852480810556725e-19,2.466259262112529826e-01,1.543614079520359456e+36
4.125000000000000210e-07,-1.224131481228028395e+00,-4.526825143832643677e-19,-6.328304951524951440e-19,2.466259262112529826e-01,1.386287658206682577e+36
4.149999999999999971e-07,-1.220869157543727157e+00,-4.532051962612175707e-19,-6.333531770304483470e-19,2.466259262112529826e-01,1.221936762783433608e+36
4.175000000000000261e-07,-1.217123523811890262e+00,-4.538053129456846977e-19,-6.339532937149154740e-19,2.466259262112529826e-01,1.057121373659881292e+36
4.200000000000000022e-07,-1.212894580032517933e+00,-4.544828644366656525e-19,-6.346308452058965250e-19,2.466259262112529826e-01,8.975976876709988575e+35
4.225000000000000312e-07,-1.208182326205609947e+00,-4.552378507341606276e-19,-6.353858315033914038e-19,2.466259262112529826e-01,7.480305670767191222e+35
4.250000000000000072e-07,-1.202986762331166748e+00,-4.560702718381693341e-19,-6.362182526074001104e-19,2.466259262112529826e-01,6.118397846426909682e+35
4.274999999999999833e-07,-1.197307888409188115e+00,-4.569801277486919647e-19,-6.371281085179227410e-19,2.466259262112529826e-01,4.911756520560241444e+35
